"Review_ID","Model_Name","Review_Date","Location","User_Type","Source","Ownership_Months","Review_Text"
"REV00017","Dio","2024-06-26","Jaipur","Long Distance Rider","Facebook","26","Pathetic experience with Dio. Bought 26 months back, already had 2 major issues. Brake pads worn out early, and the self-start has become unreliable. Not worth the price. service costly hai. daily commute ke liye perfect. Rajasthan ki garmi mein test ho gaya."
"REV00018","Dio","2024-07-06","Chennai","Long Distance Rider","Team-BHP","5","Maine Dio liya tha high expectations ke saath but disappointed hoon. Pickup average hai, mileage 40 se kam aa raha hai. Dealer ne jo claims kiye the wo sab jhooth nikla. first service free mila. highway pe mast. city mein bhi accha. value for money hai."
"REV00019","Dio","2024-01-28","Chennai","Family User","MouthShut","20","Positive side pe Dio bahut stylish lagti hai aur mileage bhi accha hai. But negative side mein - seat hard hai long rides ke liye, storage bahut limited hai. 3.5/5 deta hoon. ekdum mast. value for money hai. service costly hai. thoda improve karo Honda. Chennai traffic is no joke, but this handles it. Poori family ka kaam ek bike se ho jaata hai."
"REV00020","SP 125","2025-04-18","Pune","Beginner Rider","BikeWale","3","The SP 125 is simply outstanding. 3 months of ownership and not a single complaint. The engine is butter smooth, brakes are excellent, and the overall build quality screams Honda reliability. thoda improve karo Honda. pothole mein problem. Pune rains mein bhi reliable."
"REV00021","Activa 6G","2025-11-21","Pune","Daily Commuter","Twitter","17","Bahut khush hoon Activa 6G se. Daily 25km commute karta hoon, no issues. Petrol cost bhi kam ho gayi pehle wali bike se compare karein toh. Recommended for office goers. engine smooth hai. Pune rains mein bhi reliable. Office aane jaane mein bahut convenient."
"REV00022","Dio","2025-09-30","Hyderabad","Family User","Team-BHP","1","Scooter bahut smooth hai. Dio ka mileage city mein bhi 45+ aa raha hai. Boot space thoda kam hai but overall value for money. Service center ka staff cooperative hai. pothole mein problem. engine smooth hai. pickup zabardast. pothole mein problem. Ghar ke sab kaam aasaan ho gaye."
"REV00023","CBR1000RR-R Fireblade","2025-05-10","Bangalore","Enthusiast","Service Center","27","Disappointed with CBR1000RR-R Fireblade after sales service in India. Bought this dream bike and now for any issue I have to wait weeks for parts. Honda needs to strengthen superbike support infrastructure. pothole mein problem. daily commute ke liye perfect. service costly hai. life set ho gayi."
"REV00024","Shine 125","2026-01-29","Pune","Enthusiast","YouTube Comments","16","The Shine 125 is simply outstanding. 16 months of ownership and not a single complaint. The engine is butter smooth, brakes are excellent, and the overall build quality screams Honda reliability. maintenance low hai. value for money hai. highway pe mast. build quality acchi hai. Weekend rides ke liye waiting rehti hai."
"REV00025","CBR1000RR-R Fireblade","2024-05-03","Jaipur","Long Distance Rider","BikeWale","19","The CBR1000RR-R Fireblade is not just a bike, it's passion materialized. Every component feels premium. Track performance is extraordinary. Real-world usability is better than expected. Elite machine. mileage mast hai. first service free mila. first service free mila."
"REV00026","Activa 6G","2025-01-01","Pune","Enthusiast","Facebook","29","Honest review after 29 months: Activa 6G reliable hai, never left me stranded. But the seat gets uncomfortable after 30+ mins, storage is a joke, and AC cabin would be nice lol. Overall decent. storage kam hai. vibration feel hota hai. life set ho gayi. service costly hai. Group rides mein sab impress ho jaate hain."
"REV00027","Activa 125","2025-02-07","Mumbai","Beginner Rider","Instagram","16","Activa 125 ka service cost bahut zyada hai. Har 3000 km pe service le jaao, aur 1500-2000 rupees le lete hain. Mileage bhi sirf 38-40 aa raha hai jo claim se kam hai. city mein bhi accha. first service free mila. ekdum mast. resale value acchi hai. Mumbai traffic mein bhi manageable hai."
"REV00028","CBR1000RR-R Fireblade","2025-09-24","Chennai","Family User","BikeWale","1","The CBR1000RR-R Fireblade performance is beyond reproach. But for Indian roads and conditions, it's overkill. Amazing on highways and tracks, but city use is an ordeal. For dedicated enthusiasts only. pothole mein problem. Marina beach rides are amazing on this. Ghar ke sab kaam aasaan ho gaye."
"REV00029","SP 125","2024-06-27","Chennai","Long Distance Rider","Team-BHP","2","Service costly hai bhai SP 125 ka. Har service 2000 se upar ho jaati hai. Aur dealer ka attitude bhi theek nahi hai. Honda ko apna service network improve karna chahiye seriously. Chennai heat mein test ho gaya aur pass kiya."
"REV00030","Dio","2024-11-24","Mumbai","Beginner Rider","Instagram","5","Dio ek reliable daily rider hai. Koi bada issue nahi aaya, but chhoti chhoti cheezein hain jo irritate karti hain - dim headlight, hard seat, limited storage. Honda ko premium feel dena chahiye. pickup zabardast. pickup zabardast. build quality acchi hai. maintenance low hai."
"REV00031","CBR650R","2024-07-15","Mumbai","Daily Commuter","Team-BHP","7","CBR650R owned for 7 months now. This is not just a motorcycle, it's an experience. Every ride is special. The brakes are exceptional, the engine is phenomenal. True track weapon."
"REV00032","Activa 125","2026-01-17","Pune","Beginner Rider","Twitter","27","Bahut khush hoon Activa 125 se. Daily 25km commute karta hoon, no issues. Petrol cost bhi kam ho gayi pehle wali bike se compare karein toh. Recommended for office goers. value for money hai. value for money hai. thoda improve karo Honda. insurance cheap tha. Pune ke ghats pe mast feel hota hai. Pehli bike ke liye accha choice tha."
"REV00033","Activa 125","2024-03-21","Bangalore","Track Rider","Team-BHP","4","Activa 125 ka storage bahut kam hai yaar. Helmet bhi nahi aata properly. Itne paise mein better storage expect karta tha. Service bhi costly lagti hai. Disappointed. bhai kya bike hai. recmmend karunga. bahut accha hai. engine smooth hai. Tech park commute ke liye perfect. Circuit pe bahut engaging hai."
"REV00034","Activa 6G","2024-03-17","Pune","Enthusiast","Service Center","13","Service center ka experience worst tha. Activa 6G leke gaya tha minor issue ke liye, inhone 3 din rakh liya aur zyada charge kiya. Honda authorized center se itni badtameezi unexpected thi. IT hub commute ke liye perfect. Weekend rides ke liye waiting rehti hai."
"REV00035","Shine 125","2026-02-22","Delhi NCR","Office Goer","Twitter","18","My Shine 125 has been generally reliable for 18 months. Long distance performance is commendable. But I wish Honda had given USB charging port and better instrument cluster as standard."
"REV00036","Dio","2024-03-13","Chennai","Family User","YouTube Comments","5","Maine Dio liya 5 mahine pehle aur mast experience raha hai. Mileage bahut accha hai, daily commute ke liye perfect hai. Honda ki build quality pe trust hai. Highly recmmend karunga apne area ke logo ko."
"REV00037","CBR1000RR-R Fireblade","2024-08-21","Delhi NCR","Daily Commuter","BikeWale","25","The CBR1000RR-R Fireblade performance is beyond reproach. But for Indian roads and conditions, it's overkill. Amazing on highways and tracks, but city use is an ordeal. For dedicated enthusiasts only. thoda improve karo Honda. EMI affordable hai. bibi bhi khush hai. highway pe mast. Delhi ki garmi mein bhi accha kiya."
"REV00038","Unicorn","2025-03-16","Chennai","Office Goer","Team-BHP","15","Toured Rajasthan on my Unicorn for 4 days straight. Bike performed flawlessly. Comfortable seating, good wind protection, excellent brakes. Honda Unicorn is a true long distance companion. value for money hai. pickup zabardast. Parking easy hai office mein."
"REV00039","CBR1000RR-R Fireblade","2025-02-26","Pune","Daily Commuter","BikeWale","28","CBR1000RR-R Fireblade is a phenomenal machine on track and highways but the ownership experience in India needs improvement. Service centers are few, parts are expensive, and city riding is uncomfortable due to heat."
"REV00040","Hornet 2.0","2024-09-07","Lucknow","Office Goer","Instagram","16","After 16 months with Hornet 2.0, I have a balanced view. The riding dynamics are superb and fuel efficiency is great. However, the heat from the engine in slow traffic is genuinely uncomfortable."
"REV00041","Dio","2024-11-05","Rural Uttar Pradesh","Track Rider","Twitter","17","Dio se kaafi hadd tak satisfied hoon. Mileage aur looks acche hain. But after sales service improve karna chahiye Honda ko. Waiting time at service centre bahut zyada hai. ekdum mast. pothole mein problem. mileage mast hai. value for money hai. Rural areas mein petrol pump door hote hain so mileage matters. Circuit pe bahut engaging hai."
"REV00042","Dio","2024-08-24","Lucknow","Enthusiast","Team-BHP","12","Dio liye 12 mahine ho gaye. Pros: fuel efficient, reliable, low maintenance generally. Cons: service centre rude staff, storage cramped, vibration at highway speeds. Net net okay hai. Hazratganj se Gomti nagar tak roze jaata hoon."
"REV00043","CBR650R","2025-08-25","Chennai","Track Rider","Team-BHP","2","The CBR650R is not just a bike, it's passion materialized. Every component feels premium. Track performance is extraordinary. Real-world usability is better than expected. Elite machine. maintenance low hai. bahut accha hai. EMI affordable hai."
"REV00044","Activa 6G","2024-02-23","Lucknow","Daily Commuter","Facebook","30","My Activa 6G has been my faithful companion for 30 months now. The ride is smooth and comforatble even on Bangalore's bad roads. Storage could be more but the overall package is great value. first service free mila. on road price zyada lag raha tha. Hazratganj se Gomti nagar tak roze jaata hoon."
"REV00045","CB350RS","2026-03-12","Delhi NCR","Family User","Instagram","24","CB350RS mein kuch accha kuch bura. Accha: mileage, engine quality, reliability. Bura: service wait time, vibrations at speed, limited color options. Net: decent but not exceptional. heat bahut aati hai. daily commute ke liye perfect. no complaints. starting kabhi problem nahi. NCR roads pe smooth ride."
"REV00046","Hornet 2.0","2024-01-16","Lucknow","Track Rider","Team-BHP","8","Hornet 2.0 mein kuch accha kuch bura. Accha: mileage, engine quality, reliability. Bura: service wait time, vibrations at speed, limited color options. Net: decent but not exceptional. no complaints. bibi bhi khush hai."
"REV00047","Activa 6G","2024-01-13","Mumbai","Track Rider","Facebook","27","Best decision tha Activa 6G lena. Pickup accha hai, suspension pothole handle kar leta hai. Wife bhi khush hai. Family use ke liye perfect hai. heat bahut aati hai. bahut accha hai. heat bahut aati hai."
"REV00048","CBR1000RR-R Fireblade","2025-02-22","Delhi NCR","Family User","Service Center","29","CBR1000RR-R Fireblade ownership has a dark side - the insurance cost, the service cost, the parts cost. Performance is unquestionable but the ownership experience in India is frustrating due to limited service centers."
"REV00049","Dio","2025-10-07","Bangalore","Office Goer","BikeWale","8","Maine Dio liya 8 mahine pehle aur mast experience raha hai. Mileage bahut accha hai, daily commute ke liye perfect hai. Honda ki build quality pe trust hai. Highly recommend karunga apne area ke logo ko. highway pe mast. Tech park commute ke liye perfect."
"REV00050","Activa 125","2024-09-22","Lucknow","Daily Commuter","Facebook","18","Activa 125 ek reliable daily rider hai. Koi bada issue nahi aaya, but chhoti chhoti cheezein hain jo irritate karti hain - dim headlight, hard seat, limited storage. Honda ko premium feel dena chahiye. value for money hai."
"REV00051","Activa 125","2024-11-29","Jaipur","Female Rider","Instagram","3","Activa 125 mein seat height thodi zyada hai. Short log jaise main uncomfortable feel karte hain traffic mein. Honda ko ye improve karna chahiye tha. Suspension bhi hard lagti hai. bahut accha hai. Mujhe akele bhi confident feel hota hai is pe."
"REV00052","Dio","2024-06-13","Rural Uttar Pradesh","Daily Commuter","Service Center","30","My Dio has been my faithful companion for 30 months now. The ride is smooth and comfortable even on Bangalore's bad roads. Storage could be more but the overall package is great value."
"REV00053","Activa 6G","2025-12-30","Rural Uttar Pradesh","Enthusiast","Instagram","27","Activa 6G ka service cost bahut zyada hai. Har 3000 km pe service le jaao, aur 1500-2000 rupees le lete hain. Mileage bhi sirf 38-40 aa raha hai jo claim se kam hai. resale value acchi hai. life set ho gayi. storage kam hai. Gaon ki kacchi sadak pe bhi chala liya."
"REV00054","Activa 125","2025-07-05","Mumbai","Daily Commuter","YouTube Comments","22","Activa 125 ki build quality thodi disappointing hai. 22 months mein plastic parts pe scratches aa gaye. Paint quality bhi average. Itne paise mein better expect karta tha. build quality acchi hai. pickup zabardast. Mumbai traffic mein bhi manageable hai. Office aane jaane mein bahut convenient."
"REV00055","Activa 6G","2026-02-05","Mumbai","Enthusiast","YouTube Comments","24","Honest review after 24 months: Activa 6G reliable hai, never left me stranded. But the seat gets uncomfortable after 30+ mins, storage is a joke, and AC cabin would be nice lol. Overall decent. storage kam hai. value for money hai. Mumbai locals ke baad bike pe aana relief hai. Group rides mein sab impress ho jaate hain."
"REV00056","CBR650R","2026-04-26","Bangalore","Enthusiast","Instagram","22","The CBR650R is technically brilliant but impractical for Indian conditions. The heat from the engine in city traffic is unbearable. Low speed handling is challenging for newer riders. Not for everyone. build quality acchi hai. service center nearby hai. bahut khush hoon. recommend karunga."
"REV00057","Dio","2026-03-02","Hyderabad","Office Goer","YouTube Comments","1","Dio mera second Honda hai. Pehle bhi Honda use ki thi, wahi trust se liya. Delivery experience accha tha, salesman ne sab features clearly explain kiye. Ride quality excellent. resale value acchi hai. bhai kya bike hai. HITEC City commute ke liye best. Parking easy hai office mein."
"REV00058","SP 125","2024-03-15","Bangalore","Long Distance Rider","Instagram","12","SP 125 ne meri soch badal di Honda ke baare mein. Previously had other brands, but this is on another level. Quality, comfort, mileage - sab accha hai. Long may it continue. city mein bhi accha."
"REV00059","CBR1000RR-R Fireblade","2026-01-09","Delhi NCR","Family User","Facebook","15","After 15 months with CBR1000RR-R Fireblade, I love and hate it equally. Love: performance, looks, handling, braking. Hate: daily usability, heat in traffic, maintenance cost. It's complicated. bahut khush hoon. resale value acchi hai. maintenance low hai. NCR roads pe smooth ride."
"REV00060","SP 125","2025-01-13","Kolkata","Long Distance Rider","Facebook","15","Toured Rajasthan on my SP 125 for 4 days straight. Bike performed flawlessly. Comfortable seating, good wind protection, excellent brakes. Honda SP 125 is a true long distance companion. resale value acchi hai. pothole mein problem."
"REV00061","Dio","2025-06-04","Chennai","Track Rider","Facebook","13","Best decision tha Dio lena. Pickup accha hai, suspension pothole handle kar leta hai. Wife bhi khush hai. Family use ke liye perfect hai. mileage mast hai. Chennai traffic is no joke, but this handles it. Track pe iska alag hi character nikalta hai."
"REV00062","CBR1000RR-R Fireblade","2024-11-17","Mumbai","Female Rider","Service Center","6","CBR1000RR-R Fireblade is worth every lakh spent. The inline 4 cylinder engine is music to the ears. Performance is breathtaking. Honda reliability combined with superbike performance - can't ask for more. heat bahut aati hai. engine smooth hai. insurance cheap tha. Mujhe akele bhi confident feel hota hai is pe."
"REV00063","CBR650R","2024-05-24","Mumbai","Enthusiast","MouthShut","1","CBR650R is incredible to ride but the maintenance cost is killing me. Service every 6000km and it costs a fortune. Parts availability is poor outside major cities. Think twice before buying. bhai kya bike hai. service center nearby hai. pickup zabardast. bahut accha hai. Group rides mein sab impress ho jaate hain."
"REV00064","Unicorn","2024-05-09","Kolkata","Track Rider","Team-BHP","23","After 23 months with Unicorn, I have a balanced view. The riding dynamics are superb and fuel efficiency is great. However, the heat from the engine in slow traffic is genuinely uncomfortable. insurance cheap tha. daily commute ke liye perfect. maintenance low hai. Circuit pe bahut engaging hai."
"REV00065","CB350 Hness","2024-03-17","Rural Uttar Pradesh","Office Goer","Facebook","9","CB350 Hness ka mileage claim 60kmpl but actual city mileage comes to 42-45 only. Highway is better but city is disappointing. Misleading claims se consumer trust khatam hota hai. Kutcha raaste pe bhi suspension ne saath diya. Parking easy hai office mein."
"REV00066","CBR1000RR-R Fireblade","2024-07-13","Pune","Daily Commuter","BikeWale","8","Bought CBR1000RR-R Fireblade after years of saving and planning. No disappointment whatsoever. The bike feels planted at triple digit speeds. Braking is stupendous. Every detail is crafted to perfection. highway pe mast."
"REV00067","Hornet 2.0","2024-05-14","Hyderabad","Family User","Twitter","1","Worst service experience with Hornet 2.0. Took it for first service, they damaged a panel while servicing. Then refused responsibility. Honda authorized center ka yeh haal hai toh God save us. thoda improve karo Honda. pickup zabardast. city mein bhi accha. vibration feel hota hai. Ghar ke sab kaam aasaan ho gaye."
"REV00068","CBR650R","2025-05-10","Pune","Office Goer","Service Center","27","CBR650R is worth every lakh spent. The inline 4 cylinder engine is music to the ears. Performance is breathtaking. Honda reliability combined with superbike performance - can't ask for more. maintainance low hai. service center nearby hai. life set ho gayi."
"REV00069","Activa 6G","2026-02-12","Lucknow","Long Distance Rider","YouTube Comments","11","Activa 6G mera second Honda hai. Pehle bhi Honda use ki thi, wahi trust se liya. Delivery experience accha tha, salesman ne sab features clearly explain kiye. Ride quality excellent. 500km+ trips karke dekha hai, sach mein capable hai."
"REV00070","Activa 6G","2026-03-03","Kolkata","Beginner Rider","Instagram","22","Bhai Activa 6G leke bahut khush hoon. Colour options bhi acche hain. Starting problem kabhi nahi aai. Maintenance cost bhi low hai. Overall 5 star from my side. ekdum mast. pickup zabardast. City traffic mein nippy hai."
"REV00071","Activa 6G","2025-02-04","Kolkata","Long Distance Rider","Instagram","9","Mixed review for Activa 6G. City use ke liye best hai - nippy, easy to handle, good mileage. Highway use ke liye nahi is best - vibrations aate hain, stability thodi kam lagti hai. Know your use case. starting kabhi problem nahi. engine smooth hai. recommend karunga. Kolkata ki purani sadkon pe suspension test ho jaata hai."
"REV00072","CB350 Hness","2025-10-02","Mumbai","Female Rider","MouthShut","20","CB350 Hness se bahut disappointed hoon. Vibrations at 70+ are very bad. Hands and feet go numb on highway. Expected better from Honda at this price point. Considering resale honestly. storage kam hai. resale value acchi hai. city mein bhi accha."
"REV00073","CBR650R","2024-08-03","Rural Uttar Pradesh","Enthusiast","MouthShut","27","The CBR650R is technically brilliant but impractical for Indian conditions. The heat from the engine in city traffic is unbearable. Low speed handling is challenging for newer riders. Not for everyone. service center nearby hai. vibration feel hota hai. Kutcha raaste pe bhi suspension ne saath diya."
"REV00074","Activa 125","2026-05-15","Delhi NCR","Family User","Instagram","26","Activa 125 ka service cost bahut zyada hai. Har 3000 km pe service le jaao, aur 1500-2000 rupees le lete hain. Mileage bhi sirf 38-40 aa raha hai jo claim se kam hai. bahut khush hoon. bahut accha hai. Poori family ka kaam ek bike se ho jaata hai."
"REV00075","Dio","2025-11-02","Chennai","Office Goer","Service Center","28","Scooter bahut smooth hai. Dio ka mileage city mein bhi 45+ aa raha hai. Boot space thoda kam hai but overall value for money. Service center ka staff cooperative hai. starting kabhi problem nahi. city mein bhi accha. resale value acchi hai. starting kabhi problem nahi."
"REV00076","Activa 125","2025-08-25","Chennai","Enthusiast","Service Center","26","Office se ghar, market, everywhere Activa 125 ne saath diya. Reliable bike hai. 26 months mein sirf routine service. Koi bada problem nahi aaya. Honda zindabad!"
"REV00077","Activa 6G","2025-01-20","Lucknow","Long Distance Rider","Team-BHP","8","After using Activa 6G for 8 months, I can say it's good but not great. The engine is refined and fuel efficiency is commendable. However, the seat comfort and storage space are areas needing improvement. maintenence low hai. bahut khush hoon. Hazratganj se Gomti nagar tak roze jaata hoon."
"REV00078","Dio","2026-02-20","Pune","Family User","YouTube Comments","8","Dio ka storage bahut kam hai yaar. Helmet bhi nahi aata properly. Itne paise mein better storage expect karta tha. Service bhi costly lagti hai. Disappointed. resale value acchi hai. engine smooth hai. heat bahut aati hai."
"REV00079","Dio","2024-03-26","Mumbai","Office Goer","Twitter","28","Dio ek reliable daily rider hai. Koi bada issue nahi aaya, but chhoti chhoti cheezein hain jo irritate karti hain - dim headlight, hard seat, limited storage. Honda ko premium feel dena chahiye. storage kam hai. Fuel cost mein saving hui company conveyance se."
"REV00080","Dio","2026-02-24","Kolkata","Track Rider","Instagram","10","Dio liye 10 mahine ho gaye. Pros: fuel efficient, reliable, low maintainance generally. Cons: service centre rude staff, storage cramped, vibration at highway speeds. Net net okay hai."
"REV00081","CBR1000RR-R Fireblade","2026-03-24","Kolkata","Beginner Rider","Facebook","21","CBR1000RR-R Fireblade ownership is a privilege. The fit and finish are impeccable. Engine character changes beautifully across the rev range. For enthusiasts who want the best, this is it. Period. ekdum mast. bhai kya bike hai. EMI affordable hai. Durga Puja mein naya liya tha."
"REV00082","CB350RS","2024-05-10","Delhi NCR","Office Goer","Team-BHP","6","The CB350RS is simply outstanding. 6 months of ownership and not a single complaint. The engine is butter smooth, brakes are excellent, and the overall build quality screams Honda reliability. Delhi traffic mein handle easy hai."
"REV00083","Shine 125","2025-03-04","Chennai","Daily Commuter","Service Center","4","Shine 125 ka resale value bahut kam hai. Itne paise lagao aur depreciation itni tez. Plus service cost zyada, parts costly. Total ownership cost bahut high nikla. Not recommended. ekdum mast. recommend karunga. Marina beach rides are amazing on this."
"REV00084","Dio","2025-09-20","Rural Uttar Pradesh","Track Rider","YouTube Comments","15","Maine Dio ko 15 months use kiya hai. Absolutely zero complaints. Engine smooth, brakes responsive, fuel efficiency top notch. Honda ne kamaal kiya hai is model mein. vibration feel hota hai. Kutcha raaste pe bhi suspension ne saath diya."
"REV00085","Dio","2024-01-06","Lucknow","Enthusiast","Twitter","23","Bahut khush hoon Dio se. Daily 25km commute karta hoon, no issues. Petrol cost bhi kam ho gayi pehle wali bike se compare karein toh. Recommended for office goers. pothole mein problem. mileage mast hai. Hazratganj se Gomti nagar tak roze jaata hoon."
"REV00086","Dio","2025-10-05","Delhi NCR","Enthusiast","Service Center","10","Honest review after 10 months: Dio reliable hai, never left me stranded. But the seat gets uncomfortable after 30+ mins, storage is a joke, and AC cabin would be nice lol. Overall decent. starting kabhi problem nahi. bahut khush hoon. value for money hai. thoda improve karo Honda. Delhi traffic mein handle easy hai."
"REV00087","CBR650R","2026-01-18","Hyderabad","Track Rider","MouthShut","9","The CBR650R is technically brilliant but impractical for Indian conditions. The heat from the engine in city traffic is unbearable. Low speed handling is challenging for newer riders. Not for everyone. no complaints. life set ho gayi. resale value acchi hai. bibi bhi khush hai. Circuit pe bahut engaging hai."
"REV00088","Dio","2024-06-21","Delhi NCR","Enthusiast","Twitter","3","Dio ek reliable daily rider hai. Koi bada issue nahi aaya, but chhoti chhoti cheezein hain jo irritate karti hain - dim headlight, hard seat, limited storage. Honda ko premium feel dena chahiye. service costly hai. Group rides mein sab impress ho jaate hain."
"REV00089","CB350RS","2025-03-11","Kolkata","Female Rider","Service Center","17","Honest CB350RS review: engine is the star - smooth, refined, efficient. Everything else - average. Brakes feel wooden, suspension is stiff, seat is hard. For the price, should do better overall. bibi bhi khush hai. bibi bhi khush hai. resale value acchi hai. bibi bhi khush hai. City traffic mein nippy hai."
"REV00090","Activa 125","2026-05-12","Hyderabad","Office Goer","Service Center","23","Activa 125 mera second Honda hai. Pehle bhi Honda use ki thi, wahi trust se liya. Delivery experience accha tha, salesman ne sab features clearly explain kiye. Ride quality excellent. heat bahut aati hai. maintainance low hai. city mein bhi accha. service center nearby hai."
"REV00091","CBR1000RR-R Fireblade","2026-05-25","Kolkata","Female Rider","Instagram","7","The CBR1000RR-R Fireblade is technically brilliant but impractical for Indian conditions. The heat from the engine in city traffic is unbearable. Low speed handling is challenging for newer riders. Not for everyone. value for money hai. vibration feel hota hai. first service free mila. Kolkata ki purani sadkon pe suspension test ho jaata hai."
"REV00092","Unicorn","2024-11-13","Rural Uttar Pradesh","Family User","Facebook","30","Unicorn leke life set ho gayi bhai. Mileage 55+ aa raha hai highway pe. Engine smooth, no vibrations till 80kmph. Best bike in this segment without any doubt. Buy kar lo bina soche. build quality acchi hai. mileage mast hai. life set ho gayi. build quality acchi hai. Kutcha raaste pe bhi suspension ne saath diya."
"REV00093","Activa 125","2024-02-28","Jaipur","Daily Commuter","YouTube Comments","20","Activa 125 ki build quality thodi disappointing hai. 20 months mein plastic parts pe scratches aa gaye. Paint quality bhi average. Itne paise mein better expect karta tha. maintenance low hai. Jaipur-Ajmer highway pe fantastic. Daily 30km commute karta hoon bina kisi tension ke."
